id_ligand,smiles,docking_score,HeavyAtoms,valid,MW,LogP,HBD,HBA,RotB,TPSA,CNS_MPO,logBB_est,SA_score,QED,ScaffoldSize,Fsp3,RingCount,pains_alerts,reos_alerts,cyp2d6_inhib,cyp3a4_inhib,herg_blocker,hepatotox,ames_mutagen,human_t12,pgp_efflux,bcrp_efflux,bbb_prob,cLogD_74,pKa_basic,logS,Kp_uu_brain,GSH_reactivity,MAOB_inhib,BACE1_selectivity,HT2A_binding,Lipinski_Pass,BBB_Rule3_Pass,LE,LLE,BEI,activity_xgb
lig_0,Cc1nn(C)c2nc(-c3cccs3)cc(-c3nc(-c4ccc(F)cc4)no3)c12,-6.574,28,True,391.090309288,4.861320000000003,0,7,3,69.63,2.0,-0.13160335999999964,2.4717015617566798,0.43918651963416133,25,0.15,5,0,0,0.5316792000000001,0.6671236618576003,0.6302924000000002,0.5481153237152001,0.36306600000000017,51.89056000000002,3.726708618576001,2.849486309288001,0.5496456000000003,4.161320000000003,11.5,-7.341563092880001,0.6524192000000002,0.0,0.36445280000000013,0.5698972618576001,0.46306600000000014,True,False,0.2347857142857143,1.712679999999997,16.809416760973455,5.7242536544799805
lig_1,CC[C@H](NC(=O)N1CC[C@@H](C(=O)N2CCCC2)C1)c1ccc(C)c(C)c1,-6.676,26,True,357.241627232,3.4084400000000024,1,2,4,52.650000000000006,4.0,0.03786288000000024,2.8754563900976287,0.8977177572771465,22,0.6190476190476191,3,0,0,0.3445064000000002,0.5441235254464002,0.42859080000000016,0.4474030508928002,0.24042200000000014,45.26752000000002,3.077859254464001,2.3797736272320007,0.46737520000000016,3.3084400000000023,8.5,-6.276636272320001,0.5992064,0.0,0.2563376000000001,0.47595472544640016,0.3404220000000001,True,True,0.25676923076923075,3.267559999999998,18.687631818630337,5.816558361053467
lig_2,Cc1c(C(=O)N2CCC[C@H](c3ncc(C(=O)O)s3)C2)cnn1C,-5.639,23,True,334.10996143600005,1.9030200000000002,1,6,3,88.32,3.0,-0.7188769599999997,3.0372262573547317,0.9260006682155112,18,0.4666666666666667,3,0,0,0.3341812,0.4190635922872,0.4032114,0.34782518457440004,0.20515100000000003,29.224159999999998,2.429427922872,1.9050159614360003,0.2756016,1.4030200000000002,10.5,-5.292609614360001,0.43754119999999996,0.0,0.23612080000000002,0.38100319228720003,0.305151,True,False,0.24517391304347827,3.73598,16.87767696528309,6.255582809448242
lig_3,CC[C@@H]1OCC[C@H]1NC(=O)c1c[nH]c2c(C)cc(F)cc2c1=O,-5.921,23,True,318.137970688,2.27292,2,3,3,71.19,4.0,-0.27012815999999995,3.358470885277981,0.9118077779324133,19,0.5294117647058824,3,0,0,0.2963752,0.4454611941376,0.36910439999999994,0.3636303882752,0.193646,35.18336,2.545443941376,2.000013970688,0.33945359999999997,2.17292,8.5,-5.31783970688,0.4939952,0.0,0.2209168,0.4000027941376,0.29364599999999996,True,True,0.2574347826086957,3.64808,18.61142191608044,6.394482135772705
lig_4,COC(=O)c1cc(Cl)c(Cl)cc1NC(=O)Nc1cc(F)ccc1F,-6.504,24,True,374.00365398,4.702200000000001,2,3,3,67.42999999999999,2.0,0.15477040000000028,2.017731975587651,0.76448794164017,16,0.3333333333333333,2,1,0,0.442132,0.6509767307960002,0.5391540000000001,0.5317334615920001,0.3151100000000001,54.61760000000001,3.6288873079600004,2.7846636539800005,0.5413160000000001,4.602200000000002,8.5,-7.091136539800001,0.6472720000000001,0.0,0.31808800000000004,0.556932730796,0.4151100000000001,True,True,0.27099999999999996,1.8017999999999983,17.390204429253526,5.456954479217529
lig_5,C[C@H](NC(=O)c1ccc(C(F)(F)F)cc1)c1ccc2[nH]ccc2c1,-7.224,24,True,332.11364776000005,4.677700000000003,2,1,3,44.89,3.0,0.48463840000000047,2.492992361706161,0.7186681000756935,19,0.3333333333333333,3,0,1,0.4006620000000002,0.6406387295520003,0.4974390000000002,0.5135074591040002,0.2938850000000002,56.421600000000026,3.535307295520002,2.735423647760001,0.5844360000000004,4.777700000000003,7.5,-6.659986477600002,0.6908820000000002,0.0,0.29710800000000015,0.5470847295520003,0.39388500000000015,True,True,0.301,2.546299999999997,21.75159030266766,5.242548942565918
lig_6,C[C@@H](NC(=O)Nc1ccc(N2CCCCC2)nc1)c1ccc(NC(=O)Nc2ccc3c(c2)OCCO3)cc1,-8.264,38,True,516.248503504,5.369800000000004,4,6,6,116.85000000000002,1.0,-0.19717039999999966,2.829634464001609,0.3500310723529771,37,0.32142857142857145,5,1,0,0.5421880000000002,0.7328337007008003,0.6458860000000003,0.6286874014016003,0.3784900000000002,56.95840000000004,4.180417007008002,3.1271885035040015,0.4958840000000004,5.169800000000004,9.0,-8.0,0.5884880000000001,0.0,0.3747920000000002,0.6254377007008003,0.47849000000000025,False,False,0.2174736842105263,2.894199999999995,16.007794587119744,5.698136329650879
lig_7,CC[C@H](C)C(=O)N1CC[C@@H]2CN(C(=O)c3cnc(C)s3)[C@@H]2C1,-5.803,22,True,321.151097976,2.17052,0,4,3,53.510000000000005,6.0,-0.3020289600000001,3.6039103313079472,0.8571846315698044,15,0.6875,3,0,0,0.3102312,0.43787181959520005,0.3819364,0.3586916391904,0.198526,33.36416,2.510510195952,1.9723070979759998,0.3666216,1.7705199999999999,10.0,-5.29677097976,0.5232112,0.0,0.22682080000000002,0.3944614195952,0.29852599999999996,True,True,0.26377272727272727,3.63248,18.06937618016073,6.3295745849609375
lig_8,O=C(NC1CCN(C2CCCC2)CC1)c1ccc(Br)cc1,-5.688,21,True,350.099375456,3.5859000000000023,1,2,3,32.34,4.0,0.3654248000000003,1.902051943256886,0.9027836074708842,20,0.7058823529411765,3,0,0,0.3551540000000002,0.5568918750912002,0.4410130000000002,0.45519375018240016,0.24929500000000016,46.68720000000002,3.1345587509120008,2.425869375456001,0.5221920000000002,3.485900000000002,8.5,-6.293943754560001,0.6504740000000002,0.0,0.2634360000000001,0.48517387509120014,0.34929500000000013,True,True,0.27085714285714285,2.1020999999999974,16.246815615113427,5.286178112030029
lig_9,COc1ccc(-c2cncc(C(=O)Nc3ccc(N4CCOCC4)cn3)c2)cc1,-6.715,29,True,390.16919056399996,3.241100000000002,1,6,5,76.58,2.0,-0.3417367999999996,2.1716330663176056,0.7207749028527175,27,0.2727272727272727,4,0,0,0.4144660000000001,0.5373218381128002,0.4968770000000001,0.45053367622560014,0.2720550000000001,39.92880000000002,3.0767783811280007,2.3624991905640007,0.4061280000000002,2.741100000000002,10.5,-6.522241905640001,0.5413060000000001,0.0,0.2896440000000001,0.47249983811280016,0.3720550000000001,True,True,0.23155172413793104,3.4738999999999978,17.210482432744854,6.602635860443115
